Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets",,Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets"
IOC,"527,692.69","71,470.38",82.14,"16,894.15","11,102.17",2.10,"158,941.23",,IOC,"527,692.69","71,470.38",82.14,"16,894.15","11,102.17",2.10,"158,941.23"
Reliance,"371,019.00","44,144.00",73.55,"35,163.00","5,834.00",1.57,"529,757.00",,Reliance,"371,019.00","44,144.00",73.55,"35,163.00","5,834.00",1.57,"529,757.00"
BPCL,"297,275.05","21,544.65",76.10,"7,132.02","3,664.18",1.23,"50,320.54",,BPCL,"297,275.05","21,544.65",76.10,"7,132.02","3,664.18",1.23,"50,320.54"
HPCL,"275,197.42","20,193.42",77.84,"6,028.66","2,938.48",1.07,"39,869.30",,HPCL,"275,197.42","20,193.42",77.84,"6,028.66","2,938.48",1.07,"39,869.30"
SBI,"242,868.65",,,,"41,054.71",16.90,"3,046,499.14",,ONGC,"109,609.42","7,749.17",46.42,"26,715.79","12,113.03",11.05,"185,075.44"
TCS,"123,170.00",,,"30,065.00","59,377.00",48.21,"62,451.00",,NTPC,"90,307.43","7,988.02",43.02,"11,749.89","4,779.89",5.29,"201,121.02"
ONGC,"109,609.42","7,749.17",46.42,"26,715.79","12,113.03",11.05,"185,075.44",,Maruti Suzuki,"86,020.30","3,325.70",57.19,"7,500.60","3,254.90",3.78,"42,713.40"
HDFC Bank,"98,972.05",,,"13,528.08","7,761.76",7.84,"1,058,910.81",,JSW Steel,"76,727.00","10,599.00",46.03,"8,259.00","1,400.00",1.82,"58,826.00"
NTPC,"90,307.43","7,988.02",43.02,"11,749.89","4,779.89",5.29,"201,121.02",,GAIL,"75,126.30","2,321.91",30.56,"6,025.67","1,778.37",2.37,"39,494.57"
Larsen,"86,987.86","3,220.44",8.25,"6,677.70","6,082.49",6.99,,,Tata Steel,"70,610.71","11,255.34",84.40,"10,533.19","5,131.06",7.27,"91,939.23"
Maruti Suzuki,"86,020.30","3,325.70",57.19,"7,500.60","3,254.90",3.78,"42,713.40",,Tata Motors,"69,202.76","4,662.00",50.57,"2,020.60","4,273.10",6.17,"33,793.67"
JSW Steel,"76,727.00","10,599.00",46.03,"8,259.00","1,400.00",1.82,"58,826.00",,TML-D,"69,202.76","4,662.00",50.57,"2,020.60","4,273.10",6.17,"33,793.67"
GAIL,"75,126.30","2,321.91",30.56,"6,025.67","1,778.37",2.37,"39,494.57",,SAIL,"66,967.31","19,441.80",80.48,"2,178.82","8,830.34",13.19,"69,777.05"
Infosys,"73,107.00",,,"14,702.00","38,296.00",52.38,"44,728.00",,M&M,"53,614.00","3,839.27",33.34,"4,796.04","2,980.22",5.56,"30,738.24"
Tata Steel,"70,610.71","11,255.34",84.40,"10,533.19","5,131.06",7.27,"91,939.23",,Hindalco,"45,749.16","11,394.46",75.46,"1,205.43","1,981.71",4.33,"61,758.83"
Tata Motors,"69,202.76","4,662.00",50.57,"2,020.60","4,273.10",6.17,"33,793.67",,ITC,"44,995.65","7,587.24",50.57,"12,464.32","2,728.44",6.06,"51,638.94"
TML-D,"69,202.76","4,662.00",50.57,"2,020.60","4,273.10",6.17,"33,793.67",,,,This has complete data ,,,,,
SAIL,"66,967.31","19,441.80",80.48,"2,178.82","8,830.34",13.19,"69,777.05",,,,,,,,,
ICICI Bank,"63,401.19",,,,"6,808.24",10.74,"764,459.23",,,,,,,,,
MRPL,"62,062.14","5,811.04",67.41,,,,"16,819.49",,,,,,,,,
Axis Bank,"54,985.77",,,,"4,747.32",8.63,"640,730.77",,,,,,,,,
M&M,"53,614.00","3,839.27",33.34,"4,796.04","2,980.22",5.56,"30,738.24",,,,,,,,,
PNB,"51,310.25",,,,"6,963.16",13.57,"651,795.99",,,,,,,,,
Bank of Baroda,"49,974.11",,,,"5,039.13",10.08,"633,993.82",,,,,,,,,
Bharti Airtel,"49,608.00",,,,"1,471.00",2.97,"161,690.20",,,,,,,,,
Wipro,"48,123.80",,,"7,614.00","23,808.50",49.47,"46,001.00",,,,,,,,,
Canara Bank,"46,810.34",,,,"5,675.11",12.12,"570,558.91",,,,,,,,,
Hindalco,"45,749.16","11,394.46",75.46,"1,205.43","1,981.71",4.33,"61,758.83",,,,,,,,,
ITC,"44,995.65","7,587.24",50.57,"12,464.32","2,728.44",6.06,"51,638.94",,,,,,,,,
HDFC,"43,348.04",,,"9,632.46",,,"434,430.26",,,,,,,,,
Rajesh Exports,"42,670.89",,,,,,,,,,,,,,,
Chennai Petro,"41,338.39","4,847.08",74.79,,,,,,,,,,,,,
Bank of India,"40,767.81",,,,"6,021.04",14.77,"483,764.84",,,,,,,,,
Vedanta,"38,644.00","7,657.00",56.66,"5,075.00",,,"103,865.00",,,,,,,,,
Petronet LNG,"38,395.43",,,"2,155.43",,,,,,,,,,,,
HUL,"38,224.00","2,422.00",31.12,"6,036.00","1,747.00",4.57,,,,,,,,,,
Vodafone Idea,"36,858.80",,,,"2,120.90",5.75,"148,432.60",,,,,,,,,
UltraTechCement,"35,703.50","3,273.62",54.60,"2,455.72","1,926.01",5.39,"40,557.27",,,,,,,,,
Power Grid Corp,"34,119.12",,,"9,938.55","1,783.57",5.23,"169,391.19",,,,,,,,,
Union Bank,"34,066.66",,,,"3,151.99",9.25,"417,968.35",,,,,,,,,
Hero Motocorp,"33,650.54",,,"3,384.87","1,730.24",5.14,,,,,,,,,,
BHEL,"30,348.95","8,113.49",29.37,"1,215.39","6,261.27",20.63,,,,,,,,,,
Bajaj Auto,"30,249.96",,,"4,675.18","1,255.40",4.15,"19,852.81",,,,,,,,,
Yes Bank,"29,624.75",,,,"2,469.77",8.34,"313,950.95",,,,,,,,,
Ashok Leyland,"29,054.95","2,684.67",40.90,"1,983.20","2,098.77",7.22,,,,,,,,,,
MMTC Ltd,"28,979.44",,,,,,,,,,,,,,,
Power Finance,"28,842.00",,,"6,952.92",,,"331,711.65",,,,,,,,,
Interglobe Avi,"28,496.77",,,,"3,137.79",11.01,,,,,,,,,,
Jindal Steel,"27,715.97","3,893.18",79.49,,,,"36,772.36",,,,,,,,,
Tech Mahindra,"27,219.60",,,"4,380.40","8,444.00",31.02,,,,,,,,,,
HCL Tech,"26,012.00",,,"8,185.00","8,079.00",31.06,"26,514.00",,,,,,,,,
REC,"25,309.72",,,"5,763.72",,,"258,070.84",,,,,,,,,
Kotak Mahindra,"23,943.21",,,"3,902.94","3,183.61",13.30,"267,392.46",,,,,,,,,
